property,prefix,Context,Question,Correct Answer,negative_sample_type
has a hard core,pineapple,'',Does pineapple have a hard core?,Yes,random
has a hard exoskeleton,a typewriter,'',Does a typewriter have a hard exoskeleton?,No,random
has a hard seed,an eye,'',Does an eye have a hard seed?,No,random
has a hard shell,a chestnut tree,'',Does a chestnut tree have a hard shell?,No,random
has a harsh sound,a french horn,'',Does a french horn have a harsh sound?,Yes,random
has a hatch for entering,a submarine,'',Does a submarine have a hatch for entering?,Yes,random
has a heart shaped center,a fork,'',Does a fork have a heart shaped center?,No,random
has a helmet,an armor,'',Does an armor have a helmet?,Yes,random
has a high pitch,a gong,'',Does a gong have a high pitch?,Yes,random
has a hole in its center,a cymbal,'',Does a cymbal have a hole in its center?,Yes,random
has a hole to blow in air,a hatchet,'',Does a hatchet have a hole to blow in air?,No,random
has a hook,a jug,'',Does a jug have a hook?,No,random
has a horn on its nose,a rhino,'',Does a rhino have a horn on its nose?,Yes,random
has a hundred legs,a centipede,'',Does a centipede have a hundred legs?,Yes,random
has a jacket,a suit,'',Does a suit have a jacket?,Yes,random
has a jelly like texture,a dressing gown,'',Does a dressing gown have a jelly like texture?,No,random
has a large gun,a barge,'',Does a barge have a large gun?,No,random
has a large mouth,a crocodile,'',Does a crocodile have a large mouth?,Yes,random
has a large wingspan,a wheelchair,'',Does a wheelchair have a large wingspan?,No,random
has a lemony taste,lemonade,'',Does lemonade have a lemony taste?,Yes,random
has a lever,a corkscrew,'',Does a corkscrew have a lever?,Yes,random
has a lever,a coat,'',Does a coat have a lever?,No,random
has a line in the middle,a blender,'',Does a blender have a line in the middle?,No,random
has a lobe,an ear,'',Does an ear have a lobe?,Yes,random
has a lobe,a stick insect,'',Does a stick insect have a lobe?,No,random
has a long beak,a crane,'',Does a crane have a long beak?,Yes,random
has a long blade,a scythe,'',Does a scythe have a long blade?,Yes,random
has a long body,a rhino,'',Does a rhino have a long body?,Yes,random
has a long face,a pony,'',Does a pony have a long face?,Yes,random
has a long face,a crowbar,'',Does a crowbar have a long face?,No,random
has a long handle,a rake,'',Does a rake have a long handle?,Yes,random
has a long nose,a gun,'',Does a gun have a long nose?,No,random
has a long stem,an orchid,'',Does an orchid have a long stem?,Yes,random
has a long stem,a rocking chair,'',Does a rocking chair have a long stem?,No,random
has a long tail,a bicycle,'',Does a bicycle have a long tail?,No,random
has a loud cry,a cockerel,'',Does a cockerel have a loud cry?,Yes,random
has a luggage area,a ship,'',Does a ship have a luggage area?,No,random
has a mane,a pony,'',Does a pony have a mane?,Yes,random
has a mast,a hatchet,'',Does a hatchet have a mast?,No,random
has a mattress,a bed,'',Does a bed have a mattress?,Yes,random
has a memory card,a skirt,'',Does a skirt have a memory card?,No,random
has a metal frame,a bus,'',Does a bus have a metal frame?,Yes,random
has a motor,a blender,'',Does a blender have a motor?,Yes,random
has a moving blade,a chainsaw,'',Does a chainsaw have a moving blade?,Yes,random
has a narrow body,a coffee maker,'',Does a coffee maker have a narrow body?,No,random
has a nose,a carriage,'',Does a carriage have a nose?,No,random
has a nozzle,a hose,'',Does a hose have a nozzle?,Yes,random
has a padded ball,a foot,'',Does a foot have a padded ball?,Yes,random
has a pilot,ham,'',Does ham have a pilot?,No,random
has a pixelated screen,a daisy,'',Does a daisy have a pixelated screen?,No,random
has a plug,a toaster,'',Does a toaster have a plug?,Yes,random
has a pointy end,a knife,'',Does a knife have a pointy end?,Yes,random
has a pommel,potato,'',Does potato have a pommel?,No,random
has a port side,turnip,'',Does turnip have a port side?,No,random
has a prong,an ox,'',Does an ox have a prong?,No,random
has a pulp,an apple,'',Does an apple have a pulp?,Yes,random
has a pupil,a harmonica,'',Does a harmonica have a pupil?,No,random
has a queen,a rocket,'',Does a rocket have a queen?,No,random
has a red breast,a robin,'',Does a robin have a red breast?,Yes,random
has a red breast,a worm,'',Does a worm have a red breast?,No,random
has a reed,a club,'',Does a club have a reed?,No,random
has a remote control,a dresser,'',Does a dresser have a remote control?,No,random
has a rotating chamber,an ant,'',Does an ant have a rotating chamber?,No,random
has a rotating dish,a microwave,'',Does a microwave have a rotating dish?,Yes,random
has a rotating dish,a beaver,'',Does a beaver have a rotating dish?,No,random
has a round door,a washing machine,'',Does a washing machine have a round door?,Yes,random
has a rudder,a chestnut tree,'',Does a chestnut tree have a rudder?,No,random
has a saddle,a bicycle,'',Does a bicycle have a saddle?,Yes,random
has a safety catch,a rifle,'',Does a rifle have a safety catch?,Yes,random
has a saggy neck,a turkey,'',Does a turkey have a saggy neck?,Yes,random
has a saggy neck,a boomerang,'',Does a boomerang have a saggy neck?,No,random
has a screla,an eye,'',Does an eye have a screla?,Yes,random
has a semi circular shape,plum,'',Does plum have a semi circular shape?,No,random
has a septum,a nose,'',Does a nose have a septum?,Yes,random
has a shade,a lamp,'',Does a lamp have a shade?,Yes,random
has a sharp blade,kiwi,'',Does kiwi have a sharp blade?,No,random
has a sharp point,a drill,'',Does a drill have a sharp point?,Yes,random
has a sharp point,an oven,'',Does an oven have a sharp point?,No,random
has a shell on its back,a jellyfish,'',Does a jellyfish have a shell on its back?,No,random
has a shell shape,a helmet,'',Does a helmet have a shell shape?,Yes,random
has a shin,a leg,'',Does a leg have a shin?,Yes,random
has a shin,a robin,'',Does a robin have a shin?,No,random
has a shirt,a suit,'',Does a suit have a shirt?,Yes,random
has a short tail,a bottle,'',Does a bottle have a short tail?,No,random
has a siphon,a pansy,'',Does a pansy have a siphon?,No,random
has a siren,an ambulance,'',Does an ambulance have a siren?,Yes,random
has a skirt,a bolt,'',Does a bolt have a skirt?,No,random
has a slot for detergent,a dishwasher,'',Does a dishwasher have a slot for detergent?,Yes,random
has a small beak,a trumpet,'',Does a trumpet have a small beak?,No,random
has a smooth skin,a dolphin,'',Does a dolphin have a smooth skin?,Yes,random
has a smooth texture,a lizard,'',Does a lizard have a smooth texture?,Yes,random
has a sole,a foot,'',Does a foot have a sole?,Yes,random
has a spike,a cello,'',Does a cello have a spike?,Yes,random
has a spiky back,an iguana,'',Does an iguana have a spiky back?,Yes,random
has a spiky skin,a porcupine,'',Does a porcupine have a spiky skin?,Yes,random
has a steering wheel,a bra,'',Does a bra have a steering wheel?,No,random
has a stick,a gong,'',Does a gong have a stick?,Yes,random
has a sticky tongue,a yoyo,'',Does a yoyo have a sticky tongue?,No,random
has a sting,a robe,'',Does a robe have a sting?,No,random
has a stock,a crossbow,'',Does a crossbow have a stock?,Yes,random
has a storage area,a cupboard,'',Does a cupboard have a storage area?,Yes,random
has a strap,a satchel,'',Does a satchel have a strap?,Yes,random
has a streamlined body,a minnow,'',Does a minnow have a streamlined body?,Yes,random
has a strong back,a donkey,'',Does a donkey have a strong back?,Yes,random
has a strong bite,a barge,'',Does a barge have a strong bite?,No,random
has a strong flavor,a ladybird,'',Does a ladybird have a strong flavor?,No,random
has a strong recoil,a shotgun,'',Does a shotgun have a strong recoil?,Yes,random
has a strong recoil,pumpkin,'',Does pumpkin have a strong recoil?,No,random
has a strong smell,a dog,'',Does a dog have a strong smell?,Yes,random
has a strong smell,a scorpion,'',Does a scorpion have a strong smell?,No,random
has a stumpy tail,a hamster,'',Does a hamster have a stumpy tail?,Yes,random
has a switch,a tricycle,'',Does a tricycle have a switch?,No,random
has a symmetrical shape,a geranium,'',Does a geranium have a symmetrical shape?,No,random
has a tail,a buzzard,'',Does a buzzard have a tail?,Yes,random
has a tail,a wallet,'',Does a wallet have a tail?,No,random
has a tail for balance,a kangaroo,'',Does a kangaroo have a tail for balance?,Yes,random
has a tail rotor,a helicopter,'',Does a helicopter have a tail rotor?,Yes,random
has a tap,a basin,'',Does a basin have a tap?,Yes,random
has a taxi driver,a taxi,'',Does a taxi have a taxi driver?,Yes,random
has a thick shell,a lip,'',Does a lip have a thick shell?,No,random
has a thin beak,a hummingbird,'',Does a hummingbird have a thin beak?,Yes,random
has a thin beak,a tulip,'',Does a tulip have a thin beak?,No,random
has a thorax,a heron,'',Does a heron have a thorax?,Yes,random
has a thorax,a chest of drawers,'',Does a chest of drawers have a thorax?,No,random
has a throat pouch,a speedboat,'',Does a speedboat have a throat pouch?,No,random
has a tight seal,a jar,'',Does a jar have a tight seal?,Yes,random
has a tight surface,a foot,'',Does a foot have a tight surface?,No,random
has a tip which fits the screw,a screwdriver,'',Does a screwdriver have a tip which fits the screw?,Yes,random
has a tongue,a carp,'',Does a carp have a tongue?,Yes,random
has a top,a pajama,'',Does a pajama have a top?,Yes,random
has a triangular shape,a boomerang,'',Does a boomerang have a triangular shape?,Yes,random
has a tuner,a radio,'',Does a radio have a tuner?,Yes,random
has a tuner,a chicken,'',Does a chicken have a tuner?,No,random
has a turret,a sparrow,'',Does a sparrow have a turret?,No,random
has a twitchy nose,a deckchair,'',Does a deckchair have a twitchy nose?,No,random
has a waistband,a skirt,'',Does a skirt have a waistband?,Yes,random
has a wet nose,a rabbit,'',Does a rabbit have a wet nose?,Yes,random
has a wet nose,a buttercup,'',Does a buttercup have a wet nose?,No,random
has a wheel,a flounder,'',Does a flounder have a wheel?,No,random
has a wide end,a boat,'',Does a boat have a wide end?,No,random
has a woolen coat,a sheep,'',Does a sheep have a woolen coat?,Yes,random
has a woolen coat,a rose,'',Does a rose have a woolen coat?,No,random
has a yellow and orange beak,a seagull,'',Does a seagull have a yellow and orange beak?,Yes,random
has a yellow and orange beak,a chipmunk,'',Does a chipmunk have a yellow and orange beak?,No,random
has a yellow center,a daisy,'',Does a daisy have a yellow center?,Yes,random
has a yellow center,a sandwich,'',Does a sandwich have a yellow center?,No,random
has a zip,a clamp,'',Does a clamp have a zip?,No,random
has an anchor,kiwi,'',Does kiwi have an anchor?,No,random
has an arm,a hyacinth,'',Does a hyacinth have an arm?,No,random
has an eardrum,a spear,'',Does a spear have an eardrum?,No,random
has an elastic string,a bow,'',Does a bow have an elastic string?,Yes,random
has an electric hook up,a caravan,'',Does a caravan have an electric hook up?,Yes,random
has an electric hook up,a wolf,'',Does a wolf have an electric hook up?,No,random
has an extravagant tail,a peacock,'',Does a peacock have an extravagant tail?,Yes,random
has an ink ribbon,a typewriter,'',Does a typewriter have an ink ribbon?,Yes,random
has an opening,a kangaroo,'',Does a kangaroo have an opening?,No,random
has an overflow channel,a sink,'',Does a sink have an overflow channel?,Yes,random
has an uneven surface,a walrus,'',Does a walrus have an uneven surface?,No,random
has ancient origins,an armchair,'',Does an armchair have ancient origins?,No,random
has antioxidants,a skirt,'',Does a skirt have antioxidants?,No,random
has antlers,a bat,'',Does a bat have antlers?,No,random
has arm holes,a unicycle,'',Does a unicycle have arm holes?,No,random
has armor,a tank,'',Does a tank have armor?,Yes,random
has atria,a heart,'',Does a heart have atria?,Yes,random
has attachment points,a bayonet,'',Does a bayonet have attachment points?,Yes,random
has babies that are called calves,a walrus,'',Does a walrus have babies that are called calves?,No,random
has babies that are called cubs,cauliflower,'',Does cauliflower have babies that are called cubs?,No,random
has barbs,a tambourine,'',Does a tambourine have barbs?,No,random
has bars,a sock,'',Does a sock have bars?,No,random
has beds,a porcupine,'',Does a porcupine have beds?,No,random
has bells,a canary,'',Does a canary have bells?,No,random
has beneficial properties,a boomerang,'',Does a boomerang have beneficial properties?,No,random
has bent legs,an oyster,'',Does an oyster have bent legs?,No,random
has big claws,a crab,'',Does a crab have big claws?,Yes,random
has big ears,a sparrow,'',Does a sparrow have big ears?,No,random
has big eyes,a frog,'',Does a frog have big eyes?,Yes,random
has big feet,an elephant,'',Does an elephant have big feet?,Yes,random
has big front teeth,a beaver,'',Does a beaver have big front teeth?,Yes,random
has big front teeth,a barge,'',Does a barge have big front teeth?,No,random
has big hind legs,a skunk,'',Does a skunk have big hind legs?,No,random
has big petals,a tulip,'',Does a tulip have big petals?,Yes,random
has bitter skin,plum,'',Does plum have bitter skin?,Yes,random
has black and yellow stripes,a bee,'',Does a bee have black and yellow stripes?,Yes,random
has black fur,a submarine,'',Does a submarine have black fur?,No,random
has black stripes,a monkey,'',Does a monkey have black stripes?,No,random
has blubber,tights,'',Does tights have blubber?,No,random
has blue lights,sugar,'',Does sugar have blue lights?,No,random
has bones,a llama,'',Does a llama have bones?,Yes,random
has bones,a blouse,'',Does a blouse have bones?,No,random
has brakes,a taxi,'',Does a taxi have brakes?,Yes,random
has branches,a eucalyptus tree,'',Does a eucalyptus tree have branches?,Yes,random
has bright feathers,an ambulance,'',Does an ambulance have bright feathers?,No,random
has brown spots,a leopard,'',Does a leopard have brown spots?,No,random
has buckles,a satchel,'',Does a satchel have buckles?,Yes,random
has buds,a flute,'',Does a flute have buds?,No,random
has capillaries,a bowl,'',Does a bowl have capillaries?,No,random
has casing,a bullet,'',Does a bullet have casing?,Yes,random
has chains,a boat,'',Does a boat have chains?,No,random
has chambers,a heart,'',Does a heart have chambers?,Yes,random
has chambers,a sock,'',Does a sock have chambers?,No,random
has channels,a radio,'',Does a radio have channels?,Yes,random
has claws,a taxi,'',Does a taxi have claws?,No,random
has clothes,a donkey,'',Does a donkey have clothes?,No,random
has compartments,a refrigerator,'',Does a refrigerator have compartments?,Yes,random
has compartments,a partridge,'',Does a partridge have compartments?,No,random
has cream,bacon,'',Does bacon have cream?,No,random
has curved legs,rice,'',Does rice have curved legs?,No,random
has cushions,a microwave,'',Does a microwave have cushions?,No,random
has depth,a bowl,'',Does a bowl have depth?,Yes,random
has dials,a violin,'',Does a violin have dials?,No,random
has dog food,a dog,'',Does a dog have dog food?,Yes,random
has doors,a houseboat,'',Does a houseboat have doors?,Yes,random
has dots,a dice,'',Does a dice have dots?,Yes,random
has dots,a cupboard,'',Does a cupboard have dots?,No,random
has drawers,mushroom,'',Does mushroom have drawers?,No,random
has edible seeds,cucumber,'',Does cucumber have edible seeds?,Yes,random
has eight eyes,a spider,'',Does a spider have eight eyes?,Yes,random
has eight legs,an octopus,'',Does an octopus have eight legs?,Yes,random
has eight tentacles,an octopus,'',Does an octopus have eight tentacles?,Yes,random
has eyelids,a turkey,'',Does a turkey have eyelids?,No,random
has feet,an arm,'',Does an arm have feet?,No,random
has fibrous skin,peach,'',Does peach have fibrous skin?,Yes,random
has fingerholes,scissors,'',Does scissors have fingerholes?,Yes,random
has fingerholes,a bicycle,'',Does a bicycle have fingerholes?,No,random
has fins,an eel,'',Does an eel have fins?,Yes,random
has flaky skin,a speedboat,'',Does a speedboat have flaky skin?,No,random
has flavor,cider,'',Does cider have flavor?,Yes,random
has flavor,a coffee maker,'',Does a coffee maker have flavor?,No,random
has folded skin,a jug,'',Does a jug have folded skin?,No,random
has footboard,a frog,'',Does a frog have footboard?,No,random
has footrests,a wheelchair,'',Does a wheelchair have footrests?,Yes,random
has four wings,a dresser,'',Does a dresser have four wings?,No,random
has friendly bacteria,a fork,'',Does a fork have friendly bacteria?,No,random
has frilly petals,a daisy,'',Does a daisy have frilly petals?,Yes,random
has frilly petals,a drum,'',Does a drum have frilly petals?,No,random
has fur,whiskey,'',Does whiskey have fur?,No,random
has furry skin,a nectarine,'',Does a nectarine have furry skin?,Yes,random
has gears,a car,'',Does a car have gears?,Yes,random
has gems,a shawl,'',Does a shawl have gems?,No,random
has geometric patterns,a football,'',Does a football have geometric patterns?,Yes,random
has giant axons,a squid,'',Does a squid have giant axons?,Yes,random
has giant axons,a date,'',Does a date have giant axons?,No,random
has gills,blueberry,'',Does blueberry have gills?,No,random
has green flesh,a peacock,'',Does a peacock have green flesh?,No,random
has grip tape,a skateboard,'',Does a skateboard have grip tape?,Yes,random
has grip tape,a sheep,'',Does a sheep have grip tape?,No,random
has grips,a can opener,'',Does a can opener have grips?,Yes,random
has grooves,a nail,'',Does a nail have grooves?,Yes,random
has grooves,a sweater,'',Does a sweater have grooves?,No,random
has hairy legs,a tarantula,'',Does a tarantula have hairy legs?,Yes,random
has handlebars,a bicycle,'',Does a bicycle have handlebars?,Yes,random
has handlebars,cheese,'',Does cheese have handlebars?,No,random
has hands,an onion,'',Does an onion have hands?,No,random
has hard and tough skin,potato,'',Does potato have hard and tough skin?,No,random
has heating plates,a kettle,'',Does a kettle have heating plates?,Yes,random
has heating plates,a bomb,'',Does a bomb have heating plates?,No,random
has helicopter seeds,a wetsuit,'',Does a wetsuit have helicopter seeds?,No,random
has high amounts of calories,a cello,'',Does a cello have high amounts of calories?,No,random
has holes,a spirit level,'',Does a spirit level have holes?,No,random
has horns,a goat,'',Does a goat have horns?,Yes,random
has humps,a camel,'',Does a camel have humps?,Yes,random
has humps,a flounder,'',Does a flounder have humps?,No,random
has information,a lily,'',Does a lily have information?,No,random
has ivory tusks,a hatchet,'',Does a hatchet have ivory tusks?,No,random
has joints,a nectarine,'',Does a nectarine have joints?,No,random
has knobs,a cupboard,'',Does a cupboard have knobs?,Yes,random
has knuckles,a puppet,'',Does a puppet have knuckles?,No,random
has laces,a rollerskate,'',Does a rollerskate have laces?,Yes,random
has large horns,an ox,'',Does an ox have large horns?,Yes,random
has large muscles,a camel,'',Does a camel have large muscles?,Yes,random
has large teeth,a lion,'',Does a lion have large teeth?,Yes,random
has layers,a marble,'',Does a marble have layers?,No,random
has leather straps,a rifle,'',Does a rifle have leather straps?,No,random
has leathery skin,a nectarine,'',Does a nectarine have leathery skin?,No,random
has lights,a motorcycle,'',Does a motorcycle have lights?,Yes,random
has little flowers,a jar,'',Does a jar have little flowers?,No,random
has long antenna,a lobster,'',Does a lobster have long antenna?,Yes,random
has long eyelashes,a hippo,'',Does a hippo have long eyelashes?,Yes,random
has long eyelashes,tights,'',Does tights have long eyelashes?,No,random
has long feathers,a peacock,'',Does a peacock have long feathers?,Yes,random
has long feathers,a date,'',Does a date have long feathers?,No,random
has long hair,a pony,'',Does a pony have long hair?,Yes,random
has long seats,a limousine,'',Does a limousine have long seats?,Yes,random
has long seats,a ladle,'',Does a ladle have long seats?,No,random
has low alcohol content,cider,'',Does cider have low alcohol content?,Yes,random
has many petals,an orchid,'',Does an orchid have many petals?,Yes,random
has many pipes,a satchel,'',Does a satchel have many pipes?,No,random
has medicinal properties,a dice,'',Does a dice have medicinal properties?,No,random
has metal bands,a barrel,'',Does a barrel have metal bands?,Yes,random
has moist skin,a snail,'',Does a snail have moist skin?,Yes,random
has multiple parts,a boat,'',Does a boat have multiple parts?,No,random
has nails,a finger,'',Does a finger have nails?,Yes,random
has numbers from one to 12,a trumpet,'',Does a trumpet have numbers from one to 12?,No,random
has oars,a canoe,'',Does a canoe have oars?,Yes,random
has oars,a taxi,'',Does a taxi have oars?,No,random
has one foot,a snail,'',Does a snail have one foot?,Yes,random
has one surface,a ball,'',Does a ball have one surface?,Yes,random
has paper,a typewriter,'',Does a typewriter have paper?,Yes,random
has patches on its body,a pajama,'',Does a pajama have patches on its body?,No,random
has paws,a spirit level,'',Does a spirit level have paws?,No,random
has pedals,a harp,'',Does a harp have pedals?,Yes,random
has pentagons,a football,'',Does a football have pentagons?,Yes,random
has pigments,an eye,'',Does an eye have pigments?,Yes,random
has pigments,pear,'',Does pear have pigments?,No,random
has pincers,a duck,'',Does a duck have pincers?,No,random
has pink flesh,a strainer,'',Does a strainer have pink flesh?,No,random
has pleats,a clamp,'',Does a clamp have pleats?,No,random
has pockets,a satchel,'',Does a satchel have pockets?,Yes,random
has pockets,spinach,'',Does spinach have pockets?,No,random
has powdery texture,a helicopter,'',Does a helicopter have powdery texture?,No,random
has propellers,a ship,'',Does a ship have propellers?,Yes,random
has protein,ham,'',Does ham have protein?,Yes,random
has puppies,a bone,'',Does a bone have puppies?,No,random
has racks,a chest of drawers,'',Does a chest of drawers have racks?,Yes,random
has radio stations,a raft,'',Does a raft have radio stations?,No,random
has red petals,a poppy,'',Does a poppy have red petals?,Yes,random
has red pulp,a rattle,'',Does a rattle have red pulp?,No,random
has residents,a houseboat,'',Does a houseboat have residents?,Yes,random
has residents,an apron,'',Does an apron have residents?,No,random
has ridges,a chandelier,'',Does a chandelier have ridges?,No,random
has rings,a bullet,'',Does a bullet have rings?,No,random
has rods,an eye,'',Does an eye have rods?,Yes,random
has rods,a tuba,'',Does a tuba have rods?,No,random
has roots,an asparagus,'',Does an asparagus have roots?,Yes,random
has rotating blades,a dragonfly,'',Does a dragonfly have rotating blades?,No,random
has rotating eyes,an iguana,'',Does an iguana have rotating eyes?,Yes,random
has rough skin,a crocodile,'',Does a crocodile have rough skin?,Yes,random
has rounded ears,a leopard,'',Does a leopard have rounded ears?,Yes,random
has rounded ears,a leotard,'',Does a leotard have rounded ears?,No,random
has ruffles,a bee,'',Does a bee have ruffles?,No,random
has scissors,a penknife,'',Does a penknife have scissors?,Yes,random
has seams,ketchup,'',Does ketchup have seams?,No,random
has seatbelts,a coach,'',Does a coach have seatbelts?,Yes,random
has seeds,pear,'',Does pear have seeds?,Yes,random
has seeds,a shrimp,'',Does a shrimp have seeds?,No,random
has sensitive bones,an ear,'',Does an ear have sensitive bones?,Yes,random
has several eyes,a hammer,'',Does a hammer have several eyes?,No,random
has sharp claws,a bear,'',Does a bear have sharp claws?,No,random
has sharp edges,a hummingbird,'',Does a hummingbird have sharp edges?,No,random
has sharp spines,a porcupine,'',Does a porcupine have sharp spines?,Yes,random
has sharp talons,an eagle,'',Does an eagle have sharp talons?,Yes,random
has sharp teeth,a wren,'',Does a wren have sharp teeth?,No,random
has sheets,a bed,'',Does a bed have sheets?,Yes,random
has shelves,a dresser,'',Does a dresser have shelves?,Yes,random
has short front limbs,a soup,'',Does a soup have short front limbs?,No,random
has silent flight,an owl,'',Does an owl have silent flight?,Yes,random
has six strings,a guitar,'',Does a guitar have six strings?,Yes,random
has sleeves,a bathtub,'',Does a bathtub have sleeves?,No,random
has slimy skin,a minnow,'',Does a minnow have slimy skin?,Yes,random
has slimy skin,rhubarb,'',Does rhubarb have slimy skin?,No,random
has slots for five fingers,sultana,'',Does sultana have slots for five fingers?,No,random
has slots for legs,a pajama,'',Does a pajama have slots for legs?,Yes,random
has slots for legs,a stove,'',Does a stove have slots for legs?,No,random
has small front wheels,a tractor,'',Does a tractor have small front wheels?,Yes,random
has small front wheels,a pelican,'',Does a pelican have small front wheels?,No,random
has small holes,an oyster,'',Does an oyster have small holes?,No,random
has small paws,a finger,'',Does a finger have small paws?,No,random
has small petals,a hyacinth,'',Does a hyacinth have small petals?,Yes,random
has small petals,a camel,'',Does a camel have small petals?,No,random
has small seeds,kiwi,'',Does kiwi have small seeds?,Yes,random
has small seeds,a cat,'',Does a cat have small seeds?,No,random
has soft meat,an organ,'',Does an organ have soft meat?,No,random
has soft wood,a willow tree,'',Does a willow tree have soft wood?,Yes,random
has soft wool,a llama,'',Does a llama have soft wool?,Yes,random
has soft wool,a willow tree,'',Does a willow tree have soft wool?,No,random
has spiked feet,a cockerel,'',Does a cockerel have spiked feet?,Yes,random
has spiked feet,a heron,'',Does a heron have spiked feet?,No,random
has spirals,a french horn,'',Does a french horn have spirals?,Yes,random
has stitching,a bullet,'',Does a bullet have stitching?,No,random
has strong jaws,a crocodile,'',Does a crocodile have strong jaws?,Yes,random
has strong legs,cabbage,'',Does cabbage have strong legs?,No,random
has strong muscles,a swan,'',Does a swan have strong muscles?,No,random
has strong teeth,a beaver,'',Does a beaver have strong teeth?,Yes,random
has structure,a slug,'',Does a slug have structure?,No,random
has suckers,an octopus,'',Does an octopus have suckers?,Yes,random
has tannins,wine,'',Does wine have tannins?,Yes,random
has tastebuds,a cockerel,'',Does a cockerel have tastebuds?,No,random
has technology,a pajama,'',Does a pajama have technology?,No,random
has temperature controls,a cymbal,'',Does a cymbal have temperature controls?,No,random
has tentacles,a slug,'',Does a slug have tentacles?,Yes,random
has thick scales,an alligator,'',Does an alligator have thick scales?,Yes,random
has thick scales,a bone,'',Does a bone have thick scales?,No,random
has thin leaves,a parakeet,'',Does a parakeet have thin leaves?,No,random
has thin petals,a rocket,'',Does a rocket have thin petals?,No,random
has thin stems,a kangaroo,'',Does a kangaroo have thin stems?,No,random
has three keys,a sparrow,'',Does a sparrow have three keys?,No,random
has three major bones,an arm,'',Does an arm have three major bones?,Yes,random
has thrusters,a rocket,'',Does a rocket have thrusters?,Yes,random
has tires,a unicycle,'',Does a unicycle have tires?,Yes,random
has toes,a monkey,'',Does a monkey have toes?,Yes,random
has transistors,a radio,'',Does a radio have transistors?,Yes,random
has transistors,a goldfish,'',Does a goldfish have transistors?,No,random
has tubes,a car,'',Does a car have tubes?,No,random
has tusks,an elephant,'',Does an elephant have tusks?,Yes,random
has twigs,a ladle,'',Does a ladle have twigs?,No,random
has two arm rests,a rocking chair,'',Does a rocking chair have two arm rests?,Yes,random
has two atria,a heart,'',Does a heart have two atria?,Yes,random
has two blades,an axe,'',Does an axe have two blades?,Yes,random
has two eyes,a bagpipe,'',Does a bagpipe have two eyes?,No,random
has two legs,a fir tree,'',Does a fir tree have two legs?,No,random
has two lines,a rocking chair,'',Does a rocking chair have two lines?,No,random
has two or more slots,a toaster,'',Does a toaster have two or more slots?,Yes,random
has two shells,a scallop,'',Does a scallop have two shells?,Yes,random
has two shells,a goat,'',Does a goat have two shells?,No,random
has two ventricles,a dolphin,'',Does a dolphin have two ventricles?,No,random
has two wheels,a wheelbarrow,'',Does a wheelbarrow have two wheels?,Yes,random
has underwire,a bra,'',Does a bra have underwire?,Yes,random
has underwire,a lobster,'',Does a lobster have underwire?,No,random
has velcro,a wetsuit,'',Does a wetsuit have velcro?,Yes,random
has ventricles,a heart,'',Does a heart have ventricles?,Yes,random
has ventricles,an ox,'',Does an ox have ventricles?,No,random
has volume control,a television,'',Does a television have volume control?,Yes,random
has waxy skin,a nail,'',Does a nail have waxy skin?,No,random
has weapons,a tank,'',Does a tank have weapons?,Yes,random
has weapons,a pine tree,'',Does a pine tree have weapons?,No,random
has webbed feet,a turtle,'',Does a turtle have webbed feet?,No,random
has white speckles,a bagpipe,'',Does a bagpipe have white speckles?,No,random
has white stripes,a satchel,'',Does a satchel have white stripes?,No,random
has wind blowing through it,a willow tree,'',Does a willow tree have wind blowing through it?,Yes,random
has windows,a leotard,'',Does a leotard have windows?,No,random
has wings,a seagull,'',Does a seagull have wings?,Yes,random
has wings,a bolt,'',Does a bolt have wings?,No,random
has wipers,a car,'',Does a car have wipers?,Yes,random
has wire loops,a dolphin,'',Does a dolphin have wire loops?,No,random
has yellow eyes,an alligator,'',Does an alligator have yellow eyes?,Yes,random
has yellow eyes,wine,'',Does wine have yellow eyes?,No,random
has yellow flesh,a taxi,'',Does a taxi have yellow flesh?,No,random
hatches from a chrysalis,a shawl,'',Does a shawl hatche from a chrysalis?,No,random
hears through its legs,a spade,'',Does a spade hear through its legs?,No,random
holds the body,a bus,'',Does a bus hold the body?,No,random
hunts gazelles and antelopes,a tiger,'',Does a tiger hunt gazelles and antelopes?,Yes,random
hunts in packs,a wolf,'',Does a wolf hunt in packs?,Yes,random
hunts seals,a tray,'',Does a tray hunt seals?,No,random
is a baby cow,a daffodil,'',Is a daffodil a baby cow?,No,random
is a baby sheep,a spirit level,'',Is a spirit level a baby sheep?,No,random
is a ball,a ball,'',Is a ball a ball?,Yes,random
is a big boat,a ship,'',Is a ship a big boat?,Yes,random
is a big seed,a turtle,'',Is a turtle a big seed?,No,random
is a big spider,a cupboard,'',Is a cupboard a big spider?,No,random
is a big spoon,a ladle,'',Is a ladle a big spoon?,Yes,random
is a bike,a unicycle,'',Is a unicycle a bike?,Yes,random
is a bike,pineapple,'',Is pineapple a bike?,No,random
is a bivalve,a wheelchair,'',Is a wheelchair a bivalve?,No,random
is a canal boat,a houseboat,'',Is a houseboat a canal boat?,Yes,random
is a canal boat,an owl,'',Is an owl a canal boat?,No,random
is a cephalopod,an octopus,'',Is an octopus a cephalopod?,Yes,random
is a chair with wheels,a wheelchair,'',Is a wheelchair a chair with wheels?,Yes,random
is a citrus fruit,peach,'',Is peach a citrus fruit?,No,random
is a clam,a mussel,'',Is a mussel a clam?,Yes,random
