question,A,B,C,D,answer
"A woman was employed as a legal secretary for a local attorney. After the attorney terminated the woman's employment, she sent a job application and rÃ©sumÃ© to another attorney. In the rÃ©sumÃ© she sent to the second attorney, the woman listed her former employment with the first attorney. After receiving the woman's rÃ©sumÃ©, the second attorney telephoned the first attorney for his opinion of her qualifications. The first attorney replied that he dismissed the woman ""because she was unprofessional and incompetent. "" The first attorney's assessment was based on one malpractice incident for which he blamed the woman, but which, in fact, was attributable to another secretary in his law firm. Although the first attorney reasonably believed that his low rating of the woman was a fair reflection of her performance, he wrongfully held her responsible for the malpractice incident. Based on the first attorney's poor recommendation, the second attorney did not hire the woman. In a defamation action by the woman against the first attorney, the plaintiff will most likely","(A) prevail, because the first attorney's statement reflected adversely on the woman's professional competence.","(B) prevail, because the first attorney was mistaken in the facts upon which he based his opinion of the woman's performance.","(C) not prevail, because the first attorney had reasonable grounds for his belief that the woman was incompetent.","(D) not prevail, because the woman listed her former employment with the first attorney in her rÃ©sumÃ© to the second attorney.",C
"A man and a woman who were friends decided to buy a car together. The man put $5,000 down and the woman's father co-signed on the loan of $10,000. The title was put in the woman's name and the man made the loan payments. They orally agreed that it was a shared ownership, with equal rights. After several months, their relationship deteriorated. They argued over ownership and use of the car. One day, the man attempted to leave with the car, but the woman climbed in and kept arguing as he was driving away. He then crashed into a pole and destroyed the car just to spite her, saying that if he couldn't have it no one would have it. The authorities arrested the man for auto larceny (stealing a car from the owner) and criminal mischief (damaging property of another or property shared with another). Assuming the accuracy of the foregoing facts beyond a reasonable doubt, which crime or crimes alleged can likely result in a sustainable conviction?",(A) He can be convicted of larceny but he cannot be convicted of criminal mischief.,(B) He cannot be convicted of any crime.,(C) He can be convicted of criminal mischief only.,(D) He can be convicted of both larceny and criminal mischief.,C
"This question refers to the following information.I walk alongside the column, ask what's going on.A soldier says simply: ""They call up more every day.""Some of us were sent north to the Yellow River at age fifteen,And now at forty we're heading off to the garrisons in the west.On our first tour, the village headman had to tie our bandannas for us.When we came back, our hair was white, but still there's more unrest.The frontier garrisons run with blood, enough to fill an ocean,But the Martial Emperor's territorial ambitions have yet to crest.In the hundred districts east of the mountains, throughout the land of Han,There must be ten thousand villages that brambles now infest.Even if wives are strong enough to handle a hoe and plow,The crops grow every which way, the fields are all a mess.It's hardest for the Shanxi men, with their reputations as fighters:They're rounded up like dogs or chickens, every male impressed.""But sir, though it's good of you to ask,Complaining isn't part of the soldier's task.We can only shake our heads. Take this winter:The Shanxi troops were never sent home.The District Officers are demanding the land tax,But where will it come from? You can't get blood from a stone!I honestly think it's bad luck to bear a son now,It's better to have a daughter: at least she can marryAnd live with the neighbors next door.But a son will end up lying on some distant prairie.""Du Fu, ""Ballad of the Army Carts,"" ca. 750 C.E.The succeeding Song dynasty differed from the Tang in that",(A) the Song abolished the Confucian civil service exams,(B) the Song sponsored Buddhism to the detriment of Taoism and Confucianism,(C) the Song pursued a less expansive foreign policy,(D) the Song dynasty was originally from outside of China,C
"Identify the conclusion of the following argument. From a historical point of view, genetics is a young science. The principles that govern inheritance traits were described less than 150 years ago. Furthermore, around the turn of the twentieth century, the laws of inheritance were rediscovered. But even then, the importance of DNA was not really understood until the 1950s.","(A) But even then, the importance of DNA was not really understood until the 1950s.",(B) The importance of DNA was not really understood until the 1950s.,"(C) From a historical point of view, genetics is a young science.",(D) The principles that govern inheritance traits were described less than 150 years ago.,C
 A utilitarian who recognizes rights will attempt to explain rights on the basis of utility by claiming that,(A) there are no moral rights; there is only utility.,(B) a moral right is a kind of claim that is justified by the fact that its recognition will not diminish overall welfare.,(C) a moral right is a kind of claim that is justified by the fact that its recognition will contribute to the maximization of overall welfare.,(D) all of the above,C
"A motel advertises the showing of pornographic, or adult movies in the privacy of each room. The motel has a strict policy permitting adults only to occupy the rooms. The state has recently enacted a statute that prohibits the showing of any obscene film in an area open to the public. The owner of the motel is prosecuted for violating the statute by showing pornographic movies in the motel rooms. On appeal, the owner's conviction will probably be","(A) sustained, because a state can use its police power to prohibit the showing of pornography in public areas.","(B) sustained, because a state may use local standards in determining whether a movie has redeeming literary, artistic, political, or scientific merit.","(C) overturned, because his prosecution violates the right of consenting adultsto view such films in private.","(D) overturned, because the First and Fourteenth Amendments prohibit the suppression of sexually oriented materials on the basis of their allegedly obscene contents.",C
"This question refers to the following information.""At least one of the [world's] societies would have to somehow enormously increase its productivity [in order to achieve global hegemony]. That quantum jump would have to be made before the various scientific, technological, agricultural, and industrial revolutions on which our post-quantum-leap world rests. It could only be accomplished by exploiting the ecosystems, mineral resources, and human assets of whole continents outside the lands of the society making the jump. Western Europe did just that by means of its brutality and guns and, more important, by geographical and ecological luck.""Copyright © 2015 Cambridge University Press.Alfred Crosby, historian, Ecological Imperialism, 2004Based on your knowledge of world history, which of the following contributed LEAST to Western European global hegemony between 1450 and 1750 C.E.?",(A) The exchange of food sources between the Americas and Europe,(B) Refinement of gunpowder technologies,(C) The development and application of steam-powered technologies,(D) The implementation of joint-stock companies,C
"For which of these two scenarios does the main character (who uses I/me/my) do something clearly morally wrong, according to ordinary moral standards in the US as of 2020? Scenario 1 | As I packed to leave the hotel, my suitcase was overflowing with souvenirs. Scenario 2 | I cut and divvied up the baby.","(A) Wrong, Wrong","(B) Wrong, Not wrong","(C) Not wrong, Wrong","(D) Not wrong, Not wrong",C
 De Marneffe explains that we might call someone a drug addict to show that,(A) it is a mistake to suppose that drug use is sometimes evidence of low self-control.,(B) drug addiction is a problem that drug legalization cannot address.,"(C) it is a mistake to suppose that drug use, even heavy drug use, is not autonomous.",(D) none of the above,C
Which of the following is false about ex post facto laws?,(A) They make criminal an act that was innocent when committed.,(B) They prescribe greater punishment for an act than was prescribed when it was done.,(C) They increase the evidence required to convict a person than when the act was done.,(D) They alter criminal offenses or punishment in a substantially prejudicial manner for the purpose of punishing a person for some past activity.,C
"For which of these two scenarios does the main character (who uses I/me/my) do something clearly morally wrong, according to ordinary moral standards in the US as of 2020? Scenario 1 | As my parents laid in bed, I shined their wedding rings. Scenario 2 | When I saw the thief running from the police, I stuck out my cane to trip the police.","(A) Wrong, Wrong","(B) Wrong, Not wrong","(C) Not wrong, Wrong","(D) Not wrong, Not wrong",C
"A homeowner entered into a contract with an insurance company to purchase a fire insurance policy for her new home. The policy provided that the insurance company promised to pay up to $500,000 if the said house was destroyed by fire or fire-related explosion, while the homeowner promised to pay a quarterly premium of $400. The homeowner failed to make the last two quarterly payments before her house burned to the ground. The insurance company refused to pay the homeowner for the loss because of her failure to make the last premium payments. In an action by the homeowner against the insurance company to recover for the loss of her house, the homeowner's best theory of recovery is that","(A) although she failed to make the last two premium payments, there was a bargained-for exchange.",(B) the insurance company's duty to pay was not expressly conditioned on the homeowner's duty to make the payments.,(C) the insurance company was under an independent duty to pay for the loss.,(D) the homeowner did not receive notice of cancellation.,C
"Interestingly, none of the civilizations of ancient South America appear to have developed:",(A) monumental works.,(B) irrigation technology.,(C) a written language.,(D) significant armies.,C
"For which of these two scenarios does the main character (who uses I/me/my) do something clearly morally wrong, according to ordinary moral standards in the US as of 2020? Scenario 1 | I refilled the wine by choice Scenario 2 | I opened the gas tank and filled it with water.","(A) Wrong, Wrong","(B) Wrong, Not wrong","(C) Not wrong, Wrong","(D) Not wrong, Not wrong",C
The genetic fallacy consists of,(A) arguing that a conclusion should be made based on feeling sorry for someone when that feeling is irrelevant to the conclusion,(B) responding to charges of wrongdoing by saying the accuser does something just as bad,(C) arguing that an idea should be accepted or rejected based only on who originated the idea.,(D) causing confusion during refutation because of a real or feigned lack of ability to engage in refutation,C
Which of the following is the Pleistocene ice mass in North America centered in the Rocky Mountains?,(A) Beringia,(B) Laurentide,(C) Cordilleran,(D) McKenzie Corridor,C
Epictetus recommends that we act:,(A) according to our passions.,"(B) so as to do whatever comes naturally, without much thought.",(C) only after careful reflection on the consequences of our actions.,(D) so as to benefit the greatest number.,C
"A professor, being fee simple owner of an apartment building, made a conveyance thereof in these words, ""I hereby convey my apartment building to my son and daughter as tenants in common. "" In the deed instrument, which was properly executed, the professor reserved a life estate to himself. The professor then told his children of his conveyance and put it in the family vault in the library for safekeeping. Thereafter, the son married a doctor. The professor, who disliked the doctor, then executed another deed that he labeled ""a correction deed. "" In the ""correction deed,"" the professor conveyed the apartment building ""to my son and daughter as joint tenants with right of survivorship. "" According to the new deed, the professor again reserved a life estate to himself. Both children accepted delivery of the ""correction deed. "" Six months later, the son died intestate, leaving the doctor as his sole heir. Title to the apartment building is in",(A) the daughter and the doctor as tenants in common.,(B) the daughter subject to the professor's life estate.,"(C) the daughter and the doctor as tenants in common, subject to the professor's life estate.","(D) the daughter and the doctor as joint tenants with survivorship rights, subject to the professor's life estate.",C
"Two brothers who were in need of money approached their wealthy uncle's housekeeper and asked her to poison him. The brothers would inherit the uncle's estate when he died. The housekeeper agreed, but on the condition that they would pay her $10,000 from their inheritance. After the brothers agreed to her demand, the housekeeper decided to place some cyanide in the uncle's tea one morning. As the housekeeper was preparing the tea, the uncle was visited by his personal physician. When the housekeeper was ready to serve the tea, the uncle asked her to fix some tea for his physician also. The housekeeper did so and then carefully set the tea on the table so that the uncle's cup was facing him. However, when the physician reached over to get some sugar, he inadvertently took the uncle's cup with the cyanide and drank it. Seconds later, the physician died from the poison. Which of the following crimes are the brothers guilty of?",(A) Conspiracy to commit murder of their uncle only.,(B) Conspiracy to commit murder of their uncle and the physician.,"(C) Conspiracy to commit murder of their uncle, and murder of the physician.","(D) Solicitation, conspiracy to commit murder of their uncle, and murder of the physician.",C
Can countries rely on their domestic law as an excuse to violate their obligations under international law?,(A) Domestic law always prevails over international law,(B) Only customary international law prevails over domestic law,(C) Obligations under international law prevail over domestic law,(D) Constitutional obligations always prevail over obligations under international law,C
"For which of these two scenarios does the main character (who uses I/me/my) do something clearly morally wrong, according to ordinary moral standards in the US as of 2020? Scenario 1 | I chased my sister when we were playing tag. Scenario 2 | I took a bowl from the ancient ruins.","(A) Wrong, Wrong","(B) Wrong, Not wrong","(C) Not wrong, Wrong","(D) Not wrong, Not wrong",C
 Little suggests that we should think about the abortion issue in terms of degrees and layers because,(A) the fetus gains a more certain claim to the right to life over time.,(B) the fetus gains more capacities over time.,"(C) a gestating mother is somewhere in between a mere biological mother and a mother in a thick, normative sense.",(D) the gestating mother has different degrees and layers of preferences.,C
What is the purpose of sovereign immunity?,(A) The purpose of immunity is to protect foreign Heads of State from embarrassment,(B) Immunity protects a State from being invaded by another,(C) Immunity shields States from being sued in the courts of other States,(D) The purpose of immunity is to offer impunity in respect of all crimes,C
 Which bodhisattva is known for conducting the souls of dead children to salvation?,(A) Guan-yin,(B) Kannon,(C) Ojizo-sama,(D) Amitabha,C
"The President appointed a delegation to enter into negotiations with representatives of a foreign government to study the problem of preventing the extinction of certain species of seals. The delegation's goal was twofold: to study the problem and to formulate regulations in a bilateral agreement that would protect the endangered species and provide for a permanent commission that would continually monitor enforcement of the proposed regulations. After compiling their findings and drafting the necessary regulations, the President and the leader of the foreign government entered into a treaty to form a permanent commission to oversee the problem and to grant it the necessary enforcement powers. The validity of this treaty would most likely be upheld under which of the following principles?",(A) The presidential power to conduct foreign affairs.,(B) An ancillary power of the President under his treaty-making power.,"(C) The treaty-making power, but only if the treaty is ratified by two-thirds of the Senate.","(D) The treaty-making power, but only if the treaty is ratified by a majority in Congress.",C
What are the criteria for statehood under the 1933 Montevideo Convention?,(A) It requires that the entity in question is not an aggressor and that it is peaceful,(B) It requires recognition by the majority of other nations,"(C) It requires a permanent population, a defined territory, a government and a capacity to enter into foreign relations",(D) It requires stable and indissoluble borders as well as recognition,C
"For which of these two scenarios does the main character (who uses I/me/my) do something clearly morally wrong, according to ordinary moral standards in the US as of 2020? Scenario 1 | I did not wear a mask because I was not sick. Scenario 2 | I shared some raunchy photos of my sister to Facebook.","(A) Wrong, Wrong","(B) Wrong, Not wrong","(C) Not wrong, Wrong","(D) Not wrong, Not wrong",C
"For which of these two scenarios does the main character (who uses I/me/my) do something clearly morally wrong, according to ordinary moral standards in the US as of 2020? Scenario 1 | I'm consistently losing in a video game, so I learn new strategies in order to win. Scenario 2 | I had to hide because she was mad I had cheated on her.","(A) Wrong, Wrong","(B) Wrong, Not wrong","(C) Not wrong, Wrong","(D) Not wrong, Not wrong",C
"Point out the most accurate response : According to Austin, law has the following attributes :","(A) Command, sovereign and enforceability","(B) Command, sovereign and legal remedy","(C) Command, sovereign and sanction","(D) Command, sovereign and obedience by subject",C
"After two men robbed a local bank, they left the bank and went in different directions with a plan to meet three days later at the train station. Two days after the robbeiy, one of the men was involved in an auto accident. The man was rushed to the hospital and taken to the x-ray room. A doctor positioned the man so that the x-ray technician would be able to take x-rays of his lower back area. Based on the man's complaints about the area of pain, the doctor stated, ""It seems as if you might have a fractured pelvis. If you do, you'll have to stay in bed for several weeks. "" The man responded that he couldn't do that because he had to meet the other man tomorrow. A technician who was in the room at the time overheard the man's response to the doctor. Subsequently, both men are charged with robbery and conspiracy. At the man's trial, as evidence of a conspiracy, the prosecution attempts to introduce the doctor's testimony that the man said, ""I have to meet the other man tomorrow. "" The defense objects. This evidence is","(A) inadmissible, because it violates the physician- patient privilege.","(B) admissible, because the technician overheard the conversation.","(C) admissible, because of the nature of the man's statements.","(D) admissible, because the statement was not confidential, under the circumstances.",C
 Which of the following is not a prima facie duty that Ross discusses?,(A) the duty to keep promises,(B) the duty not to harm others,(C) the duty to protect our natural environment,(D) the duty of nonmaleficence,C
The first of the Four Noble Truths teaches which of the following cannot be escaped?,(A) Pride,(B) Hatred,(C) Suffering,(D) Fate,C
"For which of these two scenarios does the main character (who uses I/me/my) do something clearly morally wrong, according to ordinary moral standards in the US as of 2020? Scenario 1 | My neighbor finds a letter containing my paycheck in their mailbox and tries to cash it at the local bank. Scenario 2 | When I lost my stepmom's pearl necklace, I replaced it with another strung with clay pearls.","(A) Wrong, Wrong","(B) Wrong, Not wrong","(C) Not wrong, Wrong","(D) Not wrong, Not wrong",C
"This question refers to the following information.""After all the slaves had been brought together and severally marked with the letter G, the emperor's fifths and then Cortés' were deducted before we were aware of it; and, besides this, on the night preceding, the finest of the Indian females had been secretly set apart, so that when it came to a division among us soldiers, we found none left but old and ugly women&….Another soldier asked Cortés if the division he had made of the gold in Mexico was not a sufficient imposition, for, at first, he had merely spoken of 300,000 pesos, but when we were obliged to retreat from the city, it was estimated at 700,000 pesos. And now he was going to deprive the poor soldier, who had undergone so many hardships, and suffered from innumerable wounds, of this small remuneration, and not even allow him a pretty Indian female for a companion&…[Later], when Cortés learnt that there were still a great many bars of gold among the men, and heavy gambling in consequence, (for, according to the old saying, gold and love cannot lie long concealed,) he made known, under threats of severe punishment, that everyone should produce the gold he had obtained on the night of our retreat, of which one third was to be returned to him; but that anyone who refused to pay this, should have the whole taken from him. Many of our men refused downright to comply with this; yet Cortés managed to extort a good deal of it under the pretence of a loan&…""The Memoirs of the Conquistador Bernal Diaz del Castillo, 1568As described by the author, the driving philosophy behind the conquistadores' search for gold was the economic policy known as",(A) protectionism,(B) laissez-faire,(C) mercantilism,(D) supply-side,C
"A pregnant woman was sitting on her front porch watching her husband mow the lawn. A friend of the woman had known the woman for years and knew that she was an easily excitable person. The friend also hated the woman's husband. Knowing that the woman was present, the friend drew a pistol and threatened to kill the husband. The woman suffered severe emotional distress as a result of witnessing this incident and soon afterward had a miscarriage. In an action by the woman against the friend for mental anguish resulting in her miscarriage, the woman will","(A) lose, because the friend did not intend for the woman to suffer a miscarriage.","(B) lose, because the friend's actions were directed against the husband, not the woman.","(C) win, because it was highly probable that the friend's extreme and outrageous conduct would cause emotional distress to the woman.","(D) win, because she is the husband's wife.",C
"This question refers to the following information.""Purusa-Sukta""Purusa is the lord of the immortals, who grow by means of [ritual] food. When the gods performed a sacrifice with the offering Purusa, spring was its clarified butter, summer the kindling, autumn the oblation.It was Purusa, born in the beginning, which they sprinkled on the sacred grass as a sacrifice. It made the beasts of the air, the forest and the village. From that sacrifice completely offered, the mantras [Rig Veda] and the songs [Samaveda] were born. The sacrificial formulae [Yajurveda] were born from it. From it the horses were born and all that have cutting teeth in both jaws. The cows were born from it, also. From it were born goats and sheep.When they divided Purusa, how many ways did they apportion him? What was his mouth? What were his arms? What were his thighs, his feet declared to be? His mouth was the Brahman, his arms were the Rajanaya [Ksatriya], his thighs the Vaisya; from his feet the Sudra was born. Thus, they fashioned the worlds. The gods sacrificed with the sacrifice to the sacrifice. These were the first rites.—Hymns excerpted and adapted from the Rig Veda, oldest surviving literary work, India, 1500–1000 BCEWhich of the following would best contradict the argument that the caste system imposed rigid economic and social roles on Indian society in the period 600 BCE to 600 CE?",(A) For there is nothing better for a Kshatriya than a righteous battle.,(B) The four divisions of human society are created by me [Krishna].,(C) The person traditionally credited with composing the Mahabarata was born to a fisherwoman.,"(D) The Hindu God Shiva is considered to be simultaneously the creator, the preserver, and the destroyer.",C
"A newspaper printed an article stating that a local doctor was afflicted with a venereal disease and had volunteered for a program studying the various cures for the disease. The article was false, and was printed without adequate research. The doctor sued the newspaper company, claiming damages per se. The paper defended on the basis that this was a public interest article, that the paper was not reckless or malicious in its investigation and reporting, and that the doctor could not prove any special damages. Will the court adopt the defense reasoning and dismiss the case for failure to state a claim?","(A) Yes, the doctor is a professional figure in the community and he must accept the risk of false reporting, especially where he cannot prove any special damages.","(B) Yes, the newspaper is allowed to make mistakes as long as there is no malice, and the case must be dismissed as a matter of law.","(C) No, this fits the requirements for slander per se and there is a valid claim of malice stated against the paper.","(D) No, this fits the requirements for libel per se, which is so inflammatory that the doctor does not have to prove special damages.",D
"A state passed a statute stating that it will pay for one-half of the tuition for any student attending a private school, whether religious or secular, as long as the school meets the educational requirements established by the department of education. The parents of two students who attend a public high school in the state sue for a declaratory judgment and injunction in federal court, claiming that the state statute violates the establishment clause of the First Amendment. Assume that the federal court decides to hear the case on its merits. Which of the following is the state's LEAST persuasive argument for sustaining the validity of the statute?","(A) The state statute benefits the parents or guardians of all the children in private schools, religious and nonreligious.",(B) The primary effect of the state statute is not to advance or inhibit religion.,(C) The administration of the state statute by the department of education does not foster excessive governmental entanglement with religion.,(D) The state statute is a valid exercise of state regulatory action in the field of education.,D
"According to Moore, “pleasure is good” means the same thing as:",(A) “pleasure is desired.”,(B) “pleasure is pleasant.”,(C) “we desire to desire pleasure.”,(D) none of the above.,D
"The owner of a parcel of land received the following letter from a buyer: ""I will pay you $2,200 an acre for [theparcel]."" The owner's letter of reply stated, ""I accept your offer."" Unknown to the owner, the buyer had intendedto offer only $2,000 per acre but had mistakenly typed ""$2,200."" As both parties knew, comparable land in thevicinity had been selling at prices between $2,000 and $2,400 per acre. Which of the following states the probable legal consequences of the correspondence between theparties?","(A) There is no contract, because the parties attached materially different meanings to the price term.","(B) There is no enforceable contract, because the buyer is entitled to rescission due to a mutual mistake asto a basic assumption.","(C) There is a contract formed at a price of $2,000 per acre, as the buyer intended.","(D) There is a contract formed at a price of $2,200 per acre, regardless of the buyer's true intention.",D
"According to Butler, it is impossible to:",(A) approve of the actions of others without imitating them.,(B) do something of which one does not oneself approve.,(C) be motivated by genuine benevolence.,(D) do that which is good and not to approve of it.,D
"For which of these two scenarios does the main character (who uses I/me/my) do something clearly morally wrong, according to ordinary moral standards in the US as of 2020? Scenario 1 | I saw the famous Elton John outside a concert arena and took a picture of him without asking him. Scenario 2 | I reported another guard who is sneaking in narcotic drugs into a prison and selling them to prisoners.","(A) Wrong, Wrong","(B) Wrong, Not wrong","(C) Not wrong, Wrong","(D) Not wrong, Not wrong",D
"For which of these two scenarios does the main character (who uses I/me/my) do something clearly morally wrong, according to ordinary moral standards in the US as of 2020? Scenario 1 | I left twenty dollars on a random stranger's car and felt good about it. Scenario 2 | I'm going to build a roomy bomb shelter just so I can save the whole neighborhood.","(A) Wrong, Wrong","(B) Wrong, Not wrong","(C) Not wrong, Wrong","(D) Not wrong, Not wrong",D
"For which of these two scenarios does the main character (who uses I/me/my) do something clearly morally wrong, according to ordinary moral standards in the US as of 2020? Scenario 1 | When I looked back and saw my campsite coals still smoldering among the trees, I went back to put them out. Scenario 2 | I checked out the beautiful woman before asking her out on a date.","(A) Wrong, Wrong","(B) Wrong, Not wrong","(C) Not wrong, Wrong","(D) Not wrong, Not wrong",D
" Construct a complete truth table for the following argument. Then, using the truth table, determine whether the argument is valid or invalid. If the argument is invalid, choose an option which presents a counterexample. (There may be other counterexamples as well.)~S ∨ T~S · U~T ∨ U / T · U",(A) Valid,"(B) Invalid. Counterexample when S, T, and U are true",(C) Invalid. Counterexample when S and U are true and T is false,(D) Invalid. Counterexample when U is true and S and T are false,D
 Which of the following potentially morally relevant differences between Fred's behavior and the behavior of the consumers of factory-raised meat does Norcross not discuss?,"(A) Fred's behavior involves the suffering of puppies, whereas the behavior of meat-eaters ""merely"" involves the suffering of chickens, pigs, cows, calves, sheep, and the like.","(B) The suffering of the puppies is necessary for gustatory pleasure, whereas the suffering of animals on factory farms is simply a by-product of the conditions dictated by economic considerations.","(C) Fred could prevent the suffering of the puppies, whereas meat-eaters can't prevent the suffering of the animals they consume.",(D) none of the above,D
"This question refers to the following information.""My little homestead in the city, which I recently insured for ￡2,000 would no doubt have shared the common fate, as the insurance companies will not make good that which is destroyed by the Queen's enemies. And although I have a farm of 50 acres close to the town, no doubt the crops and premises would have been destroyed. In fact, this has already partly been the case, and I am now suing the Government for damages done by a contingent of 1,500 natives that have recently encamped not many hundred yards from the place, who have done much damage all around.""Letter from a British citizen to his sister during the Anglo-Zulu War, South Africa, 1879A historian researching nineteenth-century conflicts in South Africa would most likely find this letter a useful source for information about which of the following?",(A) The diffusion of cultural practices throughout South Africa,(B) Economic boons present in British colonies,(C) Daily challenges of Afrikaners during the colonial period,(D) Unforeseen consequences of British imperialism,D
"According to Sartre, what existentialists have in common is that they think that _____.",(A) essence precedes existence,(B) objectivity must be a starting point,(C) existence is a myth,(D) existence precedes essence,D
"Defendant was seen leaving Neighbor's yard with Neighbor's new $10 garden hose. Neighbor called the police, who charged Defendant with the second-degree misdemeanor of petit theft by issuing him a notice to appear in the county courthouse one week later. Defendant appeared at the scheduled place and time and asked the judge to appoint a lawyer to represent him. The judge found Defendant to be indigent. The judge",(A) must appoint Defendant a lawyer.,(B) must appoint Defendant a lawyer if the State subsequently charges Defendant by information.,(C) need not appoint Defendant a lawyer if the judge states in writing that Defendant will not go to jail for more than six months if convicted.,(D) need not appoint Defendant a lawyer if the judge states in writing that Defendant will not go to jail at all if convicted.,D
"A man who owned a business believed that one of his employees was stealing computer equipment from the business. He decided to break into the employee's house one night, when he knew that the employee and her family would be away, to try to find and retrieve the equipment. The man had brought a picklock to open the employee's back door, but when he tried the door, he found that it was unlocked, so he entered. As the man was looking around the house, he heard sounds outside and became afraid. He left the house but was arrested by police on neighborhood patrol. What is the man's strongest defense to a burglary charge?",(A) The back door to the house was unlocked.,(B) The burglary was abandoned.,(C) The house was not occupied at the time of his entry.,(D) The man did not intend to commit a crime inside the house.,D
"A dance student worked very hard to strengthen her legs, including performing additional activities such as leaping and bounding up multiple flights of stairs in her apartment building. While she was performing her exercises, one of the janitors in the building warned her that ""she was bound to get hurt if she keeps it up, because there are problems with the floor."" After falling and breaking a leg due to a loose floorboard, she brought suit against the building owner. The building owner wants to testify that: ""The janitor told me 'I told her that running too fast is dangerous and she was bound to get hurt.' "". Is the building owner's statement likely to be held admissible?","(A) Yes, because it is as an exception to hearsay as a spontaneous declaration to an opponent-party.","(B) Yes, because the building owner can testify and be questioned about what the janitor told him.","(C) No, because it is irrelevant and immaterial.","(D) No, because it is hearsay within hearsay, and there are no hearsay exceptions that apply.",D
"A third-year law student was the captain of the law school rugby club. One evening, the student and a few of his rugby teammates were drinking beer at a local pub. They were worried that the rugby club would be forced to disband because the law school had withdrawn its sponsorship. While the student was discussing the problem with his teammates, the owner of the tavern approached the players. The owner indicated that he was interested in sponsoring the rugby club because he felt it would help business at the pub. During their ensuing discussion, the owner agreed to sponsor the rugby club. The parties then orally agreed that the owner ""would pay for all the usual sponsoring fees"" incurred by the club. The owner had understood the agreement to mean that he would pay for the rugby shirts and supply the keg of beer following each ""home"" game that the rugby club played. Conversely, the student thought that the owner would be reimbursing the team for (a) the shirts, (b) the keg of beer (following ""home"" games), as well as (c) transportation expenses for ""away"" games and (d) equipment expenses (balls, etc. ). Assume that it was the customary practice of the rugby teams in the community to have the sponsors pay for (a) the shirts and (b) beer only. Before the rugby club was to play its first game under the owner's sponsorship, which of the following is the most accurate statement regarding the legal relationship between the parties?",(A) A contract exists on the terms understood by the owner.,(B) A contract exists on the terms understood by the student.,(C) A contract exists on the terms that are customary for the other teams in the community.,(D) No contract exists.,D
"For which of these two scenarios does the main character (who uses I/me/my) do something clearly morally wrong, according to ordinary moral standards in the US as of 2020? Scenario 1 | I jumped out of the bushes and ran to the wreck. Scenario 2 | I appeared in the noonday sun and laid naked on the ground at the nude beach.","(A) Wrong, Wrong","(B) Wrong, Not wrong","(C) Not wrong, Wrong","(D) Not wrong, Not wrong",D
"Several persons together stole a painting from an art museum. One of them, who was the driver, was caught during the commission of another crime. He told police that ""I didn't even get any money from the art museum. It all went to the first guy and the second guy."" When the first and second guy go on trial for the theft of the art painting, is the driver's statement admissible in court?","(A) Yes, as an admission by a party opponent.","(B) Yes, as a statement against the interests of the other defendants.","(C) No, because it was made while in custody and therefore is unreliable.","(D) No, because the statement was not made in the course of or in furtherance of the conspiracy and thus it is hearsay.",D
"A man is at home in his apartment, alone, late at night. Someone repeatedly buzzes his apartment ringer outside the building, but he doesn't answer it because he is very tired and wants to sleep. Later he hears the door to his apartment being kicked in and he is immediately accosted by a man with a gun, who waves the gun at him and says, ""You are getting me your cash or else."" The man opens his safe and turns over the money. The perpetrator absconds with the money but is picked up by the police a few minutes later. What common law crimes has the perpetrator probably committed?",(A) Burglary and attempted murder.,(B) Robbery and attempted murder.,"(C) Robbery, burglary and attempted murder.",(D) Robbery and burglary.,D
"This question refers to the following information.At a meeting of working girls held at Hull House during a strike in a large shoe factory, the discussions made it clear that the strikers who had been most easily frightened, and therefore the first to capitulate, were naturally those girls who were paying board and were afraid of being put out if they fell too far behind. After a recital of a case of peculiar hardship one of them exclaimed: ""Wouldn't it be fine if we had a boarding club of our own, and then we could stand behind each other in a time like this?"" After that events moved quickly. We … discussed all the difficulties and fascinations of such an undertaking, and on the first of May, 1891, two comfortable apartments near Hull House were rented and furnished. The Settlement was responsible for the furniture and paid the first month's rent, but beyond that the members managed the club themselves.… At the end of the third year the club occupied all of the six apartments which the original building contained, and numbered fifty members.—Jane Addams, Twenty Years at Hull House, 1912Settlement houses like Hull House expressed a desire of reformers to do which of the following?",(A) Convert immigrants to Christianity,(B) Prevent political radicalism,(C) Provide cheap labor for industry,(D) Improve conditions in urban neighborhoods,D
"For which of these two scenarios does the main character (who uses I/me/my) do something clearly morally wrong, according to ordinary moral standards in the US as of 2020? Scenario 1 | I protected the catered food from my cold Scenario 2 | I was pole dancing during the erotic show.","(A) Wrong, Wrong","(B) Wrong, Not wrong","(C) Not wrong, Wrong","(D) Not wrong, Not wrong",D
" According to Carruthers, which of the following groups should not be accorded direct moral standing?",(A) human infants,(B) the senile,(C) the mentally disabled,(D) none of the above,D
 The Communidades de Base is associated with which of the following?,(A) Bishop Oscar Romero,(B) Resistance and renewal,(C) Dignity of all human beings,(D) All of the above,D
One objection to Singer’s theory that he considers is that it:,(A) does not do enough to address suffering in other countries besides our own.,(B) inappropriately makes proximity morally important.,(C) does not account for the fact that we have stricter obligations to our loved ones than to strangers.,(D) requires too drastic a revision to our moral scheme.,D
